ratingId,userId,movieId,rating,timestamp
1,196,242,3,1997-12-04 15:55
2,186,302,3,1998-04-04 19:22
3,22,377,1,1997-11-07 7:18
4,244,51,2,1997-11-27 5:02
5,166,346,1,1998-02-02 5:33
6,298,474,4,1998-01-07 14:20
7,115,265,2,1997-12-03 17:51
8,253,465,5,1998-04-03 18:34
9,305,451,3,1998-02-01 9:20
10,6,86,3,1997-12-31 21:16
11,62,257,2,1997-11-12 22:07
12,286,1014,5,1997-11-17 15:38
13,200,222,5,1997-10-05 9:05
14,210,40,3,1998-03-27 21:59
15,224,29,3,1998-02-21 23:40
16,303,785,3,1997-11-14 5:28
17,122,387,5,1997-11-11 17:47
18,194,274,2,1997-11-14 20:36
19,291,1042,4,1997-09-21 9:42
20,234,1184,2,1998-04-08 23:47
21,119,392,4,1998-01-30 16:13
22,167,486,4,1998-04-16 14:54
23,299,144,4,1997-10-26 15:55
24,291,118,2,1997-09-21 9:24
25,308,1,4,1998-02-17 17:28
26,95,546,2,1997-11-10 21:16
27,38,95,5,1998-04-13 1:14
28,102,768,2,1998-01-02 13:40
29,63,277,4,1997-10-01 23:10
30,160,234,5,1997-10-14 20:33
31,50,246,3,1997-10-17 1:38
32,301,98,4,1997-12-14 5:03
33,225,193,4,1997-11-14 20:35
34,290,88,4,1997-11-28 15:46
35,97,194,3,1998-01-08 5:54
36,157,274,4,1998-02-07 22:33
37,181,1081,1,1997-11-08 4:17
38,278,603,5,1998-03-30 22:02
39,276,796,1,1997-09-20 21:45
40,7,32,4,1998-03-31 13:28
41,10,16,4,1997-10-26 18:01
42,284,304,4,1998-01-20 20:48
43,201,979,2,1998-01-06 19:17
44,276,564,3,1997-09-20 21:43
45,287,327,5,1997-09-27 4:18
46,246,201,5,1998-01-16 3:33
47,242,1137,5,1997-11-17 4:33
48,249,241,5,1997-11-16 0:46
49,99,4,5,1998-02-03 15:18
50,178,332,3,1997-12-22 20:43
51,251,100,4,1998-01-31 18:38
52,81,432,2,1997-10-11 1:58
53,260,322,4,1998-03-23 2:08
54,25,181,5,1998-01-26 22:23
55,59,196,5,1998-02-23 3:38
56,72,679,2,1997-11-20 14:46
57,87,384,4,1997-11-18 18:18
58,290,143,5,1997-11-25 16:11
59,42,423,5,1997-12-03 0:08
60,292,515,4,1997-12-02 23:06
61,115,20,3,1997-12-03 17:43
62,20,288,1,1997-11-16 8:06
63,201,219,4,1998-01-06 18:51
64,13,526,3,1997-12-14 23:10
65,246,919,4,1998-01-16 3:22
66,138,26,5,1997-11-08 21:23
67,167,232,1,1998-04-16 14:52
68,60,427,5,1997-12-28 16:30
69,57,304,5,1998-01-01 23:49
70,223,274,4,1998-04-02 20:48
71,189,512,4,1998-04-22 20:41
72,243,15,3,1997-11-20 0:57
73,92,1049,1,1998-03-18 20:10
74,246,416,3,1998-01-16 3:57
75,194,165,4,1997-11-14 22:32
76,241,690,2,1998-02-12 2:11
77,178,248,4,1997-12-22 20:52
78,254,1444,3,1998-02-03 3:12
79,293,5,3,1998-03-03 6:29
80,127,229,5,1998-01-09 16:54
81,225,237,5,1997-11-14 20:34
82,299,229,3,1997-10-30 6:20
83,225,480,5,1997-11-14 20:52
84,276,54,3,1997-09-20 21:30
85,291,144,5,1997-09-21 9:44
86,222,366,4,1997-10-30 3:49
87,267,518,5,1997-11-08 6:49
88,42,403,3,1997-12-03 0:24
89,11,111,4,1998-04-06 23:04
90,95,625,4,1998-03-03 19:46
91,8,338,4,1997-11-12 19:11
92,162,25,4,1997-10-23 19:39
93,87,1016,4,1997-11-18 18:03
94,279,154,5,1997-09-26 17:51
95,145,275,2,1998-01-23 12:11
96,119,1153,5,1997-09-20 18:46
97,62,498,4,1997-11-12 22:30
98,62,382,3,1997-11-12 22:58
99,28,209,4,1997-12-12 21:13
100,135,23,4,1997-11-18 12:56
101,32,294,3,1998-01-02 2:57
102,90,382,5,1998-03-31 22:37
103,286,208,4,1997-10-22 14:52
104,293,685,3,1998-03-03 6:06
105,216,144,4,1997-11-22 21:37
106,166,328,5,1998-02-02 5:35
107,250,496,4,1997-10-29 2:01
108,271,132,5,1998-01-26 21:04
109,160,174,5,1997-10-14 20:26
110,265,118,4,1997-09-27 0:38
111,198,498,3,1998-01-07 21:11
112,42,96,5,1997-12-02 23:59
113,168,151,5,1998-01-08 19:34
114,110,307,4,1998-02-09 1:21
115,58,144,4,1998-01-09 0:15
116,90,648,4,1998-03-31 22:52
117,271,346,4,1998-01-26 19:53
118,62,21,3,1997-11-12 22:24
119,279,832,3,1997-12-06 2:37
120,237,514,4,1997-11-12 23:17
121,94,789,4,1998-04-04 20:14
122,128,485,3,1997-11-19 19:14
123,298,317,4,1998-01-07 14:20
124,44,195,5,1997-11-01 1:31
125,264,200,5,1998-01-30 1:05
126,194,385,2,1997-11-14 16:24
127,72,195,5,1997-11-20 14:55
128,222,750,5,1998-01-03 8:12
129,250,264,3,1997-10-29 1:39
130,41,265,3,1998-03-23 21:04
131,224,245,3,1998-02-21 17:30
132,82,135,3,1997-11-05 22:40
133,262,1147,4,1997-11-17 18:35
134,293,471,3,1998-03-03 6:01
135,216,658,3,1997-11-23 0:30
136,250,140,3,1997-10-29 2:27
137,59,23,5,1998-02-23 3:41
138,286,379,5,1997-10-22 15:22
139,244,815,4,1997-11-27 4:33
140,7,479,4,1998-03-31 13:46
